source_team_key	canonical_key	canonical_team_id	classification	legacy_members
legacy_dim_team:605	component:605	3000000000990	merge	605,993773352873,1031940935471,1033636573077
legacy_dim_team:993773352873	component:605	3000000000990	merge	605,993773352873,1031940935471,1033636573077
legacy_dim_team:1031940935471	component:605	3000000000990	merge	605,993773352873,1031940935471,1033636573077
legacy_dim_team:1033636573077	component:605	3000000000990	merge	605,993773352873,1031940935471,1033636573077
legacy_dim_team:6131	component:6131	3000000000991	separate	6131
legacy_dim_team:6162	component:6162	3000000000992	separate	6162
legacy_dim_team:6188	component:6188	3000000000993	separate	6188
legacy_dim_team:62	component:62	3000000000994	merge	62,964548087097,980042478253,998536802601,1039733967206
legacy_dim_team:964548087097	component:62	3000000000994	merge	62,964548087097,980042478253,998536802601,1039733967206
legacy_dim_team:980042478253	component:62	3000000000994	merge	62,964548087097,980042478253,998536802601,1039733967206
legacy_dim_team:998536802601	component:62	3000000000994	merge	62,964548087097,980042478253,998536802601,1039733967206
legacy_dim_team:1039733967206	component:62	3000000000994	merge	62,964548087097,980042478253,998536802601,1039733967206
legacy_dim_team:621	component:621	3000000000995	separate	621
legacy_dim_team:6213	component:6213	3000000000996	separate	6213
legacy_dim_team:627	component:627	3000000000997	separate	627
legacy_dim_team:6276	component:6276	3000000000998	separate	6276
legacy_dim_team:6285	component:6285	3000000000999	merge	6285,963832352630,1026222236780
legacy_dim_team:963832352630	component:6285	3000000000999	merge	6285,963832352630,1026222236780
legacy_dim_team:1026222236780	component:6285	3000000000999	merge	6285,963832352630,1026222236780
legacy_dim_team:629	component:629	3000000001000	merge	629,910000000806,984240024705
legacy_dim_team:910000000806	component:629	3000000001000	merge	629,910000000806,984240024705
