coach_identity_id,provider,provider_coach_id,coach_name,missing_reason,current_image_url,source_ref,source_status,source_file_name,source_url,source_error
336,sportmonks,460530,Robert Klauß,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
337,sportmonks,459265,Onur Cinel,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
338,sportmonks,37648493,Marc Unterberger,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
339,sportmonks,608123,Thomas Hofer,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
340,sportmonks,10307079,Pepijn Lijnders,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
341,sportmonks,37563968,Lars Friis,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,Q104890214,missing_source_url,,,wikidata entity has no P18 image
342,sportmonks,72750,Željko Sopić,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
343,sportmonks,52236,Gernot Messner,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
344,sportmonks,37436278,P. Semlic,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
345,sportmonks,347590,Stephan Helm,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
346,sportmonks,350699,Fabio Ingolitsch,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
348,sportmonks,37656543,Rene Poms,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
349,sportmonks,37575021,Manfred Schmid,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
350,sportmonks,37566240,Andy Woodman,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
352,sportmonks,15322,Scott Lindsey,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
353,sportmonks,37680707,Johannes Hoff Thorup,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
354,sportmonks,524215,Stephen Robinson,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
355,sportmonks,524027,Matthew Kennedy,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
356,sportmonks,2508,Barry Robson,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
358,sportmonks,896462,Derek McInnes,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
360,sportmonks,37699018,Tony Docherty,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
361,sportmonks,4243027,Craig Levein,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
362,sportmonks,19256146,David Martindale,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
363,sportmonks,171725,Scott Brown,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
365,sportmonks,32013107,Troy Lesesne,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
366,sportmonks,5125,David Gray,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
367,sportmonks,1264,Don Cowie,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
368,sportmonks,457107,Jimmy Thelin,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
369,sportmonks,2823538,Neil Critchley,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
370,sportmonks,1621,Jim Goodwin,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
371,sportmonks,2510752,Simo Valakari,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
372,sportmonks,456684,Vasco Freire De Seabra,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
374,sportmonks,37665708,Pedro Miguel de Barros Moreira,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
375,sportmonks,37653467,Vasco Maria de Albuquerque Botelho da Costa,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
376,sportmonks,1553235,Luís Batalha Freire,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
377,sportmonks,1452584,José Ferreira da Mota,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
378,sportmonks,1552916,Carlos Gomes da Cunha,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
379,sportmonks,37735006,Ricardo Paiva,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
380,sportmonks,463840,Sergio de Oliveira Vieira,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
381,sportmonks,1552838,Vítor de Carvalho Campelos,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
382,sportmonks,6648081,Armando Macedo Freitas,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
384,sportmonks,20694532,Paulo Bento Brito,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
385,sportmonks,1195,Sebastien Pocognoli,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
386,sportmonks,37289455,Tiago Carvalho Margarido,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
387,sportmonks,159773,Vítor Bruno,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
389,sportmonks,37652062,João Jorge Gândara Mendes Pereira,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
390,sportmonks,158804,Ricardo Pessoa,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
391,sportmonks,161668,Zé Augusto,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
392,sportmonks,523914,Carlos Soares da Costa Faria Carvalhal,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
393,sportmonks,1553339,Natanael Pereira Costa,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
394,sportmonks,37553114,Álvaro Manuel Gonçalves Madureira,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
395,sportmonks,160687,Vasco Matos,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
397,sportmonks,37691811,Cristiano Bacci,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
398,sportmonks,37348961,Bruno Nogueira Pinheiro,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
399,sportmonks,32957,João Pereira,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
405,sportmonks,37293365,Luís Ferreira de Castro,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
408,sportmonks,355563,Ralph Noncent,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
410,sportmonks,117955,Jacob Neestrup Hansen,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
413,sportmonks,455350,Paul Cook,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
414,sportmonks,10293491,Eder Sarabia Armesto,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
415,sportmonks,6821,Jonathan Worthington,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
416,sportmonks,37559807,Anthony Hayes,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
417,sportmonks,107983,Erol Bulut,placeholder_image_url,https://cdn.sportmonks.com/images/soccer/placeholder.png,,,,,
