competition_key,season,team_id,matches,covered_by_external_dated_fact,coverage_pct
champions_league,2021,62,2,0,0.0
champions_league,2021,83,6,0,0.0
champions_league,2021,112,8,0,0.0
champions_league,2021,113,6,0,0.0
champions_league,2021,207,2,0,0.0
champions_league,2021,216,2,0,0.0
champions_league,2021,260,2,0,0.0
champions_league,2021,340,6,0,0.0
champions_league,2021,349,6,0,0.0
champions_league,2021,360,2,0,0.0
champions_league,2021,368,2,0,0.0
champions_league,2021,554,6,0,0.0
champions_league,2021,556,6,0,0.0
champions_league,2021,571,2,0,0.0
champions_league,2021,602,4,0,0.0
champions_league,2021,605,14,0,0.0
champions_league,2021,621,10,0,0.0
champions_league,2021,625,8,0,0.0
champions_league,2021,627,14,0,0.0
champions_league,2021,629,8,0,0.0
champions_league,2021,647,12,0,0.0
champions_league,2021,652,6,0,0.0
champions_league,2021,676,6,0,0.0
champions_league,2021,682,6,0,0.0
champions_league,2021,690,8,0,0.0
champions_league,2021,708,6,0,0.0
champions_league,2021,724,4,0,0.0
champions_league,2021,876,2,0,0.0
champions_league,2021,939,4,0,0.0
champions_league,2021,1001,4,0,0.0
champions_league,2021,1294,2,0,0.0
champions_league,2021,1668,2,0,0.0
champions_league,2021,2417,4,0,0.0
champions_league,2021,2599,4,0,0.0
champions_league,2021,2673,4,0,0.0
champions_league,2021,2709,2,0,0.0
champions_league,2021,2712,2,0,0.0
champions_league,2021,2727,4,0,0.0
champions_league,2021,2742,8,0,0.0
champions_league,2021,2930,8,0,0.0
champions_league,2021,2963,6,0,0.0
champions_league,2021,3108,4,0,0.0
champions_league,2021,3451,2,0,0.0
champions_league,2021,3468,13,0,0.0
champions_league,2021,3477,12,0,0.0
champions_league,2021,3546,2,0,0.0
champions_league,2021,3599,6,0,0.0
champions_league,2021,3678,2,0,0.0
champions_league,2021,3833,2,0,0.0
champions_league,2021,3877,2,0,0.0
champions_league,2021,4113,4,0,0.0
champions_league,2021,5203,2,0,0.0
champions_league,2021,5447,2,0,0.0
champions_league,2021,5495,4,0,0.0
champions_league,2021,6452,2,0,0.0
champions_league,2021,6789,4,0,0.0
champions_league,2021,7980,10,0,0.0
champions_league,2021,8678,1,0,0.0
champions_league,2021,8697,4,0,0.0
champions_league,2021,10068,4,0,0.0
champions_league,2021,10695,4,0,0.0
champions_league,2021,18967,1,0,0.0
champions_league,2022,6,8,0,0.0
champions_league,2022,8,8,0,0.0
champions_league,2022,9,13,0,0.0
champions_league,2022,18,10,0,0.0
champions_league,2022,44,6,0,0.0
champions_league,2022,49,6,0,0.0
champions_league,2022,53,6,0,0.0
champions_league,2022,58,6,0,0.0
champions_league,2022,62,10,0,0.0
champions_league,2022,83,6,0,0.0
champions_league,2022,85,8,0,0.0
champions_league,2022,88,2,0,0.0
champions_league,2022,112,6,0,0.0
champions_league,2022,113,12,0,0.0
champions_league,2022,207,4,0,0.0
champions_league,2022,260,4,0,0.0
champions_league,2022,277,8,0,0.0
champions_league,2022,302,2,0,0.0
champions_league,2022,340,8,0,0.0
champions_league,2022,354,4,0,0.0
champions_league,2022,360,2,0,0.0
champions_league,2022,389,2,0,0.0
champions_league,2022,556,6,0,0.0
champions_league,2022,571,12,0,0.0
champions_league,2022,579,2,0,0.0
champions_league,2022,597,10,0,0.0
champions_league,2022,602,2,0,0.0
champions_league,2022,605,14,0,0.0
champions_league,2022,621,6,0,0.0
champions_league,2022,625,6,0,0.0
champions_league,2022,627,6,0,0.0
champions_league,2022,629,6,0,0.0
champions_league,2022,652,8,0,0.0
